fitness, generation, highest round
10.51, 1, 1
14.76, 2, 2
15.37, 3, 1
20.85, 4, 6
22.02, 5, 1
29.11, 6, 2
44.09, 7, 2
46.14, 8, 5
54.29, 9, 6
67.87, 10, 5
70.75, 11, 7
115.84, 12, 22
166.21, 13, 32
284.79, 14, 71
415.33, 15, 38
318.39, 16, 29
316.13, 17, 87
534.81, 18, 85
391.78, 19, 112
344.9, 20, 82
402.98, 21, 76
304.81, 22, 60
232.91, 23, 48
206.81, 24, 22
412, 25, 57
309.57, 26, 78
310.08, 27, 35
461.14, 28, 95
351.84, 29, 67
468.44, 30, 121
