Generation,Fitness Scores,Highest Round Scores
1,11.372,1.7
2,15.221,1.3
3,22.484,3
4,42.349,8.7
5,53.201,9.5
6,86.923,18
7,135.129,33.1
8,222.11,61.6
9,213.272,43.2
10,245.426,50.4
11,224.168,36.4
12,283.525,59.9
13,282.431,65.2
14,325.95,71.5
15,372.574,69.4
16,321.469,66.7
17,369.088,76.3
18,453.808,70.8
19,417.725,77.9
20,488.933,92.3
21,408.784,71.8
22,362.192,82.5
23,344.514,76.4
24,373.742,71.2
25,405.048,82
26,456.699,74.3
27,438.168,67.8
28,476.707,84.6
29,495.909,75.3
30,467.16,73.6
