fitness, generation, highest round
10.04, 1, 0
11.68, 2, 0
14.83, 3, 0
19.17, 4, 0
34.91, 5, 7
84.42, 6, 20
166.17, 7, 84
116.5, 8, 55
108.46, 9, 46
146.02, 10, 36
181.71, 11, 46
295.62, 12, 74
302.48, 13, 54
236.13, 14, 53
191.65, 15, 38
251.13, 16, 117
296.72, 17, 107
411.28, 18, 50
394.28, 19, 42
415.38, 20, 161
392.61, 21, 111
281.75, 22, 69
307.52, 23, 96
431, 24, 115
313.09, 25, 53
534.41, 26, 103
583.39, 27, 60
754.63, 28, 138
426.14, 29, 54
544.85, 30, 104
