fitness, generation, highest round
11.23, 1, 1
15.21, 2, 2
22.01, 3, 3
48.33, 4, 3
44.14, 5, 7
96.29, 6, 20
166.16, 7, 54
192.51, 8, 66
202.41, 9, 64
258.24, 10, 42
222.4, 11, 29
307.43, 12, 119
318.03, 13, 66
176.02, 14, 83
240.46, 15, 46
355.42, 16, 57
365.05, 17, 97
184.76, 18, 44
309.56, 19, 60
624.49, 20, 145
601.24, 21, 110
486.86, 22, 89
505.25, 23, 119
600.02, 24, 115
514.09, 25, 107
316.1, 26, 67
460.36, 27, 120
503, 28, 138
420.22, 29, 58
485.97, 30, 42
