fitness, generation, highest round
11.17, 1, 1
12.49, 2, 2
23.61, 3, 3
28.57, 4, 1
47.06, 5, 12
68.66, 6, 19
85.4, 7, 31
161.19, 8, 38
126.96, 9, 27
225.5, 10, 64
189.34, 11, 43
239.51, 12, 108
197.05, 13, 45
308.22, 14, 53
325.39, 15, 156
330.04, 16, 48
377.91, 17, 91
214.17, 18, 36
256.28, 19, 39
475.36, 20, 67
396.52, 21, 48
365.32, 22, 69
392.22, 23, 87
405.46, 24, 65
335.06, 25, 74
565.58, 26, 84
678.87, 27, 81
476.11, 28, 74
565.82, 29, 98
627.63, 30, 73
