fitness, generation, highest round
10.58, 1, 0
15.51, 2, 0
23.66, 3, 1
39.75, 4, 3
49.46, 5, 3
72.78, 6, 3
246.66, 7, 57
549.67, 8, 101
538.78, 9, 66
388.09, 10, 27
510.96, 11, 33
485.5, 12, 51
344.35, 13, 65
226.68, 14, 24
227.68, 15, 50
298.28, 16, 51
328.85, 17, 91
539.2, 18, 66
392.14, 19, 61
338.06, 20, 67
313.63, 21, 31
299.57, 22, 70
207.31, 23, 36
287.77, 24, 87
292.75, 25, 61
235.07, 26, 29
397.54, 27, 46
238.39, 28, 35
456.98, 29, 50
207.93, 30, 53
