fitness, generation, highest round
16.89, 1, 14
16.25, 2, 1
28.77, 3, 4
71.45, 4, 15
96.21, 5, 20
92.2, 6, 25
207.17, 7, 25
248.49, 8, 54
165.17, 9, 57
261.2, 10, 20
285.25, 11, 66
366.38, 12, 56
237.85, 13, 70
339.54, 14, 78
404.57, 15, 44
223.59, 16, 40
242.76, 17, 48
342.11, 18, 78
276.7, 19, 102
264.64, 20, 38
275.08, 21, 34
247.43, 22, 115
312.26, 23, 61
195.01, 24, 51
240.63, 25, 81
341.81, 26, 55
245.11, 27, 36
262.16, 28, 29
310.58, 29, 55
226.38, 30, 38
