fitness, generation, highest round
10.88, 1, 0
14.26, 2, 0
21.98, 3, 1
38.62, 4, 18
28.92, 5, 3
46.71, 6, 4
49.88, 7, 3
43.42, 8, 2
56.93, 9, 5
59.29, 10, 7
55.94, 11, 9
65.07, 12, 6
76.89, 13, 37
166.36, 14, 41
177.82, 15, 45
251.56, 16, 38
239.15, 17, 36
347.15, 18, 76
531.77, 19, 85
248.66, 20, 63
480.1, 21, 90
180.66, 22, 26
482.21, 23, 114
272.75, 24, 75
531.3, 25, 94
523.03, 26, 46
342.73, 27, 64
490.53, 28, 95
422.59, 29, 64
336.45, 30, 60
